Timestamp,SensorType,Value
2025-05-26T22:46:20.4050164+01:00,Temperature,17,41
2025-05-26T22:46:20.4093335+01:00,Hydrophone,126,1
2025-05-26T22:46:30.4328745+01:00,Temperature,17,51
2025-05-26T22:46:40.4379557+01:00,Temperature,17,37
2025-05-26T22:46:50.4287992+01:00,Hydrophone,125,9
2025-05-26T22:46:50.4436916+01:00,Temperature,17,63
2025-05-26T22:47:00.4582692+01:00,Temperature,17,42
2025-05-26T22:47:10.4732851+01:00,Temperature,17,3
2025-05-26T22:47:21.4310275+01:00,Temperature,18,48
2025-05-26T22:47:21.4257777+01:00,Hydrophone,121,4
2025-05-26T22:47:31.4574700+01:00,Temperature,18,75
2025-05-26T22:47:41.4760682+01:00,Temperature,18,39
2025-05-26T22:47:51.4561397+01:00,Hydrophone,127,8
2025-05-26T22:47:51.4862406+01:00,Temperature,18,79
2025-05-26T22:48:39.4557027+01:00,Temperature,15,56
2025-05-26T22:48:39.4570153+01:00,Hydrophone,129,9
2025-05-26T22:48:49.4822314+01:00,Temperature,15,67
2025-05-26T22:48:59.4959315+01:00,Temperature,15,84
2025-05-26T22:49:09.4892165+01:00,Hydrophone,129,4
2025-05-26T22:49:09.5044314+01:00,Temperature,15,77
2025-05-26T22:49:19.5180621+01:00,Temperature,15,79
2025-05-26T22:49:29.5224705+01:00,Temperature,15,66
2025-05-26T22:49:39.4982969+01:00,Hydrophone,128,8
2025-05-26T22:49:39.5282938+01:00,Temperature,15,79
2025-05-26T22:49:49.5473386+01:00,Temperature,15,83
2025-05-26T22:49:59.5555061+01:00,Temperature,15,61
2025-05-26T22:50:09.5066266+01:00,Hydrophone,128,6
2025-05-26T22:50:09.5697055+01:00,Temperature,15,98
2025-05-26T22:50:19.5810648+01:00,Temperature,15,72
2025-05-26T22:50:29.5919362+01:00,Temperature,15,71
2025-05-26T22:50:39.5180679+01:00,Hydrophone,128,1
2025-05-26T22:50:39.5975922+01:00,Temperature,15,75
2025-05-26T22:50:49.6045469+01:00,Temperature,16,01
2025-05-26T22:50:59.6211779+01:00,Temperature,15,9
2025-05-26T22:51:09.5204369+01:00,Hydrophone,128,3
2025-05-26T22:51:09.6296515+01:00,Temperature,15,72
2025-05-26T22:51:19.6437282+01:00,Temperature,15,63
2025-05-26T22:51:29.6566638+01:00,Temperature,15,85
2025-05-26T22:51:39.5307315+01:00,Hydrophone,127,4
2025-05-26T22:51:39.6720570+01:00,Temperature,15,88
2025-05-26T22:51:49.6815510+01:00,Temperature,15,91
2025-05-26T22:51:59.6968301+01:00,Temperature,16,06
2025-05-26T22:52:09.7125478+01:00,Temperature,15,9
2025-05-26T22:52:19.7269677+01:00,Temperature,15,85
2025-05-26T22:52:29.7454295+01:00,Temperature,16,02
2025-05-26T22:52:39.5521539+01:00,Hydrophone,127,1
2025-05-26T22:52:39.7520123+01:00,Temperature,15,88
2025-05-26T22:52:49.7569417+01:00,Temperature,16,01
2025-05-26T22:52:59.7773869+01:00,Temperature,16,08
2025-05-26T22:53:09.5675459+01:00,Hydrophone,126,6
2025-05-26T22:53:09.7882709+01:00,Temperature,16,01
2025-05-26T22:53:19.8095315+01:00,Temperature,15,69
2025-05-26T22:53:29.8223584+01:00,Temperature,15,65
2025-05-26T22:53:39.5762872+01:00,Hydrophone,125,9
2025-05-26T22:53:39.8287203+01:00,Temperature,15,64
2025-05-26T22:53:49.8441387+01:00,Temperature,15,92
2025-05-26T22:53:59.8613029+01:00,Temperature,16,04
2025-05-26T22:54:09.5999356+01:00,Hydrophone,125,5
2025-05-26T22:54:09.8680629+01:00,Temperature,15,65
2025-05-26T22:54:19.8832135+01:00,Temperature,15,84
2025-05-26T22:54:29.8974810+01:00,Temperature,16,02
2025-05-26T22:54:39.6180016+01:00,Hydrophone,125,1
2025-05-26T22:54:39.9021157+01:00,Temperature,16,14
2025-05-26T22:54:49.9099524+01:00,Temperature,15,98
2025-05-27T16:48:11.0092826+01:00,Hydrophone,110.1
2025-05-27T16:48:11.0092819+01:00,Temperature,13.03
2025-05-27T16:48:11.0253770+01:00,Gyroscope,"X:0,03,Y:0,05,Z:0,05"
2025-05-27T16:48:11.0253792+01:00,Accelerometer,"X:-0,05,Y:9,81,Z:0,04"
