Timestamp,SensorType,Value
2025-05-26T22:46:20.4932041+01:00,Temperature,15,39
2025-05-26T22:46:20.5017516+01:00,Hydrophone,122,7
2025-05-26T22:46:30.5126469+01:00,Temperature,15,47
2025-05-26T22:46:40.5306122+01:00,Temperature,15,45
2025-05-26T22:46:50.5062757+01:00,Hydrophone,122,5
2025-05-26T22:46:50.5381131+01:00,Temperature,15,7
2025-05-26T22:47:00.5538370+01:00,Temperature,15,5
2025-05-26T22:47:10.5693760+01:00,Temperature,15,62
2025-05-26T22:47:21.5127740+01:00,Temperature,20,94
2025-05-26T22:47:21.5207635+01:00,Hydrophone,124,8
2025-05-26T22:47:31.5201555+01:00,Temperature,20,86
2025-05-26T22:47:41.5232068+01:00,Temperature,21,03
2025-05-26T22:47:51.5312988+01:00,Temperature,21,06
2025-05-26T22:48:39.5525988+01:00,Temperature,17,59
2025-05-26T22:48:39.5608791+01:00,Hydrophone,129,7
2025-05-26T22:48:49.5597813+01:00,Temperature,17,22
2025-05-26T22:48:59.5751465+01:00,Temperature,17,25
2025-05-26T22:49:09.5676517+01:00,Hydrophone,129,2
2025-05-26T22:49:09.5833359+01:00,Temperature,17,3
2025-05-26T22:49:19.5971833+01:00,Temperature,17,26
2025-05-26T22:49:29.6005486+01:00,Temperature,17,39
2025-05-26T22:49:39.5736450+01:00,Hydrophone,129,3
2025-05-26T22:49:39.6206067+01:00,Temperature,17,39
2025-05-26T22:49:49.6259995+01:00,Temperature,17,47
2025-05-26T22:49:59.6330257+01:00,Temperature,17,49
2025-05-26T22:50:09.6486250+01:00,Temperature,17,62
2025-05-26T22:50:19.6600984+01:00,Temperature,17,46
2025-05-26T22:50:29.6687408+01:00,Temperature,17,37
2025-05-26T22:50:39.5975553+01:00,Hydrophone,128,8
2025-05-26T22:50:39.6771375+01:00,Temperature,17,42
2025-05-26T22:50:49.6818493+01:00,Temperature,17,51
2025-05-26T22:50:59.6834925+01:00,Temperature,17,22
2025-05-26T22:51:09.6138007+01:00,Hydrophone,128,5
2025-05-26T22:51:09.6932721+01:00,Temperature,17,23
2025-05-26T22:51:19.7063686+01:00,Temperature,17,49
2025-05-26T22:51:29.7200685+01:00,Temperature,17,24
2025-05-26T22:51:39.6242868+01:00,Hydrophone,129,2
2025-05-26T22:51:39.7355602+01:00,Temperature,17,37
2025-05-26T22:51:49.7446890+01:00,Temperature,17,41
2025-05-26T22:51:59.7598657+01:00,Temperature,17,55
2025-05-26T22:52:09.6330824+01:00,Hydrophone,129,5
2025-05-26T22:52:09.7750559+01:00,Temperature,17,39
2025-05-26T22:52:19.7888814+01:00,Temperature,17,31
2025-05-26T22:52:29.7936339+01:00,Temperature,17,66
2025-05-26T22:52:39.6441898+01:00,Hydrophone,128,7
2025-05-26T22:52:39.7988055+01:00,Temperature,17,3
2025-05-26T22:52:49.8040992+01:00,Temperature,17,53
2025-05-26T22:52:59.8092241+01:00,Temperature,17,27
2025-05-26T22:53:09.6629723+01:00,Hydrophone,128,3
2025-05-26T22:53:09.8203324+01:00,Temperature,17,61
2025-05-26T22:53:19.8415066+01:00,Temperature,17,65
2025-05-26T22:53:29.8533964+01:00,Temperature,17,69
2025-05-26T22:53:39.6699015+01:00,Hydrophone,128,5
2025-05-26T22:53:39.8752798+01:00,Temperature,17,5
2025-05-26T22:53:49.8916545+01:00,Temperature,17,71
2025-05-26T22:53:59.9078237+01:00,Temperature,17,29
2025-05-26T22:54:09.6936504+01:00,Hydrophone,127,8
2025-05-26T22:54:09.9156068+01:00,Temperature,17,64
2025-05-26T22:54:19.9305312+01:00,Temperature,17,47
2025-05-26T22:54:29.9449571+01:00,Temperature,17,51
2025-05-26T22:54:39.7123781+01:00,Hydrophone,127,2
2025-05-26T22:54:39.9649428+01:00,Temperature,17,31
2025-05-26T22:54:49.9720295+01:00,Temperature,17,52
