Timestamp,SensorType,Value
2025-05-26T22:46:20.4165711+01:00,Temperature,16,88
2025-05-26T22:46:20.4269189+01:00,Hydrophone,117,9
2025-05-26T22:46:30.4327565+01:00,Temperature,16,44
2025-05-26T22:46:40.4379313+01:00,Temperature,16,81
2025-05-26T22:46:50.4436398+01:00,Hydrophone,117,7
2025-05-26T22:46:50.4436623+01:00,Temperature,16,44
2025-05-26T22:47:00.4582491+01:00,Temperature,16,66
2025-05-26T22:47:10.4732889+01:00,Temperature,16,79
2025-05-26T22:47:21.4324670+01:00,Temperature,15,08
2025-05-26T22:47:31.4574718+01:00,Temperature,15,09
2025-05-26T22:47:41.4760811+01:00,Temperature,15,37
2025-05-26T22:47:51.4561428+01:00,Hydrophone,114,3
2025-05-26T22:47:51.4862094+01:00,Temperature,15,24
2025-05-26T22:48:39.4691289+01:00,Temperature,12,23
2025-05-26T22:48:49.4821899+01:00,Temperature,12,6
2025-05-26T22:48:59.4958627+01:00,Temperature,12,59
2025-05-26T22:49:09.4893082+01:00,Hydrophone,119,4
2025-05-26T22:49:09.5043421+01:00,Temperature,12,34
2025-05-26T22:49:19.5180623+01:00,Temperature,12,6
2025-05-26T22:49:29.5223831+01:00,Temperature,12,35
2025-05-26T22:49:39.5132516+01:00,Hydrophone,119,9
2025-05-26T22:49:39.5282940+01:00,Temperature,12,2
2025-05-26T22:49:49.5474493+01:00,Temperature,12,38
2025-05-26T22:49:59.5555633+01:00,Temperature,12,4
2025-05-26T22:50:09.5217781+01:00,Hydrophone,120,5
2025-05-26T22:50:09.5696497+01:00,Temperature,12,19
2025-05-26T22:50:19.5810649+01:00,Temperature,12,34
2025-05-26T22:50:29.5919323+01:00,Temperature,12,23
2025-05-26T22:50:39.5340700+01:00,Hydrophone,120,9
2025-05-26T22:50:39.5975994+01:00,Temperature,12,36
2025-05-26T22:50:49.6044971+01:00,Temperature,12,49
2025-05-26T22:50:59.6061483+01:00,Temperature,12,2
2025-05-26T22:51:09.5364213+01:00,Hydrophone,121,6
2025-05-26T22:51:09.6136950+01:00,Temperature,12,47
2025-05-26T22:51:19.6286013+01:00,Temperature,12,55
2025-05-26T22:51:29.6406188+01:00,Temperature,12,3
2025-05-26T22:51:39.6559688+01:00,Temperature,12,35
2025-05-26T22:51:49.6657311+01:00,Temperature,12,67
2025-05-26T22:51:59.6808843+01:00,Temperature,12,36
2025-05-26T22:52:09.5541919+01:00,Hydrophone,120,7
2025-05-26T22:52:09.6966474+01:00,Temperature,12,62
2025-05-26T22:52:19.7115468+01:00,Temperature,12,7
2025-05-26T22:52:29.7293817+01:00,Temperature,12,49
2025-05-26T22:52:39.5682023+01:00,Hydrophone,120,3
2025-05-26T22:52:39.7370279+01:00,Temperature,12,29
2025-05-26T22:52:49.7418224+01:00,Temperature,12,63
2025-05-26T22:52:59.7614272+01:00,Temperature,12,41
2025-05-26T22:53:09.5837095+01:00,Hydrophone,120,3
2025-05-26T22:53:09.7734326+01:00,Temperature,12,72
2025-05-26T22:53:19.7934749+01:00,Temperature,12,43
2025-05-26T22:53:29.8062778+01:00,Temperature,12,64
2025-05-26T22:53:39.8130471+01:00,Temperature,12,47
2025-05-26T22:53:49.8280456+01:00,Temperature,12,56
2025-05-26T22:53:59.8465820+01:00,Temperature,12,47
2025-05-26T22:54:09.6160709+01:00,Hydrophone,125,6
2025-05-26T22:54:09.8524505+01:00,Temperature,12,69
2025-05-26T22:54:19.8675078+01:00,Temperature,12,3
2025-05-26T22:54:29.8822357+01:00,Temperature,12,55
2025-05-26T22:54:39.6337785+01:00,Hydrophone,125,2
2025-05-26T22:54:39.8861479+01:00,Temperature,12,73
2025-05-26T22:54:49.8949433+01:00,Temperature,12,45
2025-05-27T16:48:11.0253333+01:00,Hydrophone,118.2
2025-05-27T16:48:11.0404074+01:00,Gyroscope,"X:-0,05,Y:-0,07,Z:0,10"
2025-05-27T16:48:11.0404089+01:00,Accelerometer,"X:-0,06,Y:9,89,Z:-0,04"
2025-05-27T16:48:11.0404150+01:00,Temperature,14.3
