Timestamp,SensorType,Value
2025-05-26T22:46:20.4330457+01:00,Temperature,17,7
2025-05-26T22:46:30.4486277+01:00,Temperature,17,46
2025-05-26T22:46:40.4535358+01:00,Temperature,17,51
2025-05-26T22:46:50.4591610+01:00,Temperature,17,33
2025-05-26T22:46:50.4592364+01:00,Hydrophone,115,4
2025-05-26T22:47:00.4737636+01:00,Temperature,17,32
2025-05-26T22:47:10.4893232+01:00,Temperature,17,55
2025-05-26T22:47:21.4549941+01:00,Temperature,18,51
2025-05-26T22:47:21.4631075+01:00,Hydrophone,111,6
2025-05-26T22:47:31.4575529+01:00,Temperature,18,22
2025-05-26T22:47:41.4762071+01:00,Temperature,18,45
2025-05-26T22:47:51.4712313+01:00,Hydrophone,112,2
2025-05-26T22:47:51.4862199+01:00,Temperature,18,46
2025-05-26T22:48:39.4854288+01:00,Temperature,10,31
2025-05-26T22:48:39.4943832+01:00,Hydrophone,110,3
2025-05-26T22:48:49.4972883+01:00,Temperature,10,18
2025-05-26T22:48:59.5113623+01:00,Temperature,10,12
2025-05-26T22:49:09.5044993+01:00,Hydrophone,109,7
2025-05-26T22:49:09.5203894+01:00,Temperature,10,31
2025-05-26T22:49:19.5331951+01:00,Temperature,10,15
2025-05-26T22:49:29.5384453+01:00,Temperature,10,08
2025-05-26T22:49:39.5134425+01:00,Hydrophone,110,2
2025-05-26T22:49:39.5584315+01:00,Temperature,10,25
2025-05-26T22:49:49.5778704+01:00,Temperature,10,19
2025-05-26T22:49:59.5864504+01:00,Temperature,10,54
2025-05-26T22:50:09.6014029+01:00,Temperature,10,23
2025-05-26T22:50:19.6125551+01:00,Temperature,10,39
2025-05-26T22:50:29.6233126+01:00,Temperature,10,1
2025-05-26T22:50:39.5340720+01:00,Hydrophone,110,8
2025-05-26T22:50:39.6295201+01:00,Temperature,10,34
2025-05-26T22:50:49.6351915+01:00,Temperature,10,31
2025-05-26T22:50:59.6519370+01:00,Temperature,10,43
2025-05-26T22:51:09.5364182+01:00,Hydrophone,110,8
2025-05-26T22:51:09.6614052+01:00,Temperature,10,42
2025-05-26T22:51:19.6748396+01:00,Temperature,10,12
2025-05-26T22:51:29.6884366+01:00,Temperature,10,18
2025-05-26T22:51:39.5467358+01:00,Hydrophone,110,4
2025-05-26T22:51:39.7040426+01:00,Temperature,10,33
2025-05-26T22:51:49.7131790+01:00,Temperature,10,21
2025-05-26T22:51:59.7288017+01:00,Temperature,10,52
2025-05-26T22:52:09.5542533+01:00,Hydrophone,110,2
2025-05-26T22:52:09.7435094+01:00,Temperature,10,35
2025-05-26T22:52:19.7581607+01:00,Temperature,10,19
2025-05-26T22:52:29.7775383+01:00,Temperature,10,61
2025-05-26T22:52:39.5682574+01:00,Hydrophone,109,8
2025-05-26T22:52:39.7833957+01:00,Temperature,10,45
2025-05-26T22:52:49.7881302+01:00,Temperature,10,56
2025-05-26T22:52:59.8091751+01:00,Temperature,10,25
2025-05-26T22:53:09.5837150+01:00,Hydrophone,110,9
2025-05-26T22:53:09.8202488+01:00,Temperature,10,49
2025-05-26T22:53:19.8415325+01:00,Temperature,10,23
2025-05-26T22:53:29.8534837+01:00,Temperature,10,22
2025-05-26T22:53:39.8752302+01:00,Temperature,10,42
2025-05-26T22:53:49.8917066+01:00,Temperature,10,55
2025-05-26T22:53:59.9078633+01:00,Temperature,10,31
2025-05-26T22:54:09.9155692+01:00,Temperature,10,32
2025-05-26T22:54:19.9305121+01:00,Temperature,10,63
2025-05-26T22:54:29.9449396+01:00,Temperature,10,65
2025-05-26T22:54:39.6338006+01:00,Hydrophone,112,3
2025-05-26T22:54:39.9501479+01:00,Temperature,10,56
2025-05-26T22:54:49.9573668+01:00,Temperature,10,38
