Timestamp,SensorType,Value
2025-05-26T22:46:20.4050132+01:00,Temperature,19,19
2025-05-26T22:46:30.4328662+01:00,Temperature,19,31
2025-05-26T22:46:40.4379645+01:00,Temperature,19,08
2025-05-26T22:46:50.4288097+01:00,Hydrophone,120,5
2025-05-26T22:46:50.4436737+01:00,Temperature,19,45
2025-05-26T22:47:00.4582562+01:00,Temperature,19,26
2025-05-26T22:47:10.4732850+01:00,Temperature,19,16
2025-05-26T22:47:21.4143612+01:00,Hydrophone,121,1
2025-05-26T22:47:21.4310524+01:00,Temperature,10,2
2025-05-26T22:47:31.4579267+01:00,Temperature,9,95
2025-05-26T22:47:41.4760921+01:00,Temperature,9,92
2025-05-26T22:47:51.4862463+01:00,Temperature,9,97
2025-05-26T22:48:39.4556884+01:00,Temperature,18,9
2025-05-26T22:48:39.4446760+01:00,Hydrophone,124,2
2025-05-26T22:48:49.4822300+01:00,Temperature,19,1
2025-05-26T22:48:59.4959435+01:00,Temperature,19,13
2025-05-26T22:49:09.4893342+01:00,Hydrophone,124,3
2025-05-26T22:49:09.5044410+01:00,Temperature,18,91
2025-05-26T22:49:19.5181252+01:00,Temperature,18,96
2025-05-26T22:49:29.5226213+01:00,Temperature,19,04
2025-05-26T22:49:39.5132590+01:00,Hydrophone,124,8
2025-05-26T22:49:39.5433682+01:00,Temperature,19,11
2025-05-26T22:49:49.5623555+01:00,Temperature,18,74
2025-05-26T22:49:59.5710545+01:00,Temperature,19,06
2025-05-26T22:50:09.5216873+01:00,Hydrophone,124,1
2025-05-26T22:50:09.5854228+01:00,Temperature,18,96
2025-05-26T22:50:19.5969236+01:00,Temperature,19,05
2025-05-26T22:50:29.6076972+01:00,Temperature,18,98
2025-05-26T22:50:39.5341067+01:00,Hydrophone,124,8
2025-05-26T22:50:39.6135968+01:00,Temperature,18,8
2025-05-26T22:50:49.6195204+01:00,Temperature,18,86
2025-05-26T22:50:59.6211800+01:00,Temperature,18,97
2025-05-26T22:51:09.5364410+01:00,Hydrophone,125,2
2025-05-26T22:51:09.6296653+01:00,Temperature,19,01
2025-05-26T22:51:19.6438648+01:00,Temperature,19,09
2025-05-26T22:51:29.6566380+01:00,Temperature,18,73
2025-05-26T22:51:39.6720284+01:00,Temperature,19,09
2025-05-26T22:51:49.6815632+01:00,Temperature,19,17
2025-05-26T22:51:59.6968395+01:00,Temperature,19,2
2025-05-26T22:52:09.5542843+01:00,Hydrophone,124,8
2025-05-26T22:52:09.7126105+01:00,Temperature,18,78
2025-05-26T22:52:19.7270781+01:00,Temperature,18,92
2025-05-26T22:52:29.7454512+01:00,Temperature,18,99
2025-05-26T22:52:39.5681840+01:00,Hydrophone,125,2
2025-05-26T22:52:39.7521040+01:00,Temperature,19,04
2025-05-26T22:52:49.7570480+01:00,Temperature,19,05
2025-05-26T22:52:59.7774850+01:00,Temperature,18,86
2025-05-26T22:53:09.5837250+01:00,Hydrophone,125,7
2025-05-26T22:53:09.7883106+01:00,Temperature,19,16
2025-05-26T22:53:19.8095541+01:00,Temperature,18,92
2025-05-26T22:53:29.8224438+01:00,Temperature,19,19
2025-05-26T22:53:39.5917361+01:00,Hydrophone,125,1
2025-05-26T22:53:49.8441658+01:00,Temperature,18,76
2025-05-26T22:53:59.8613578+01:00,Temperature,19,17
2025-05-26T22:54:09.6161598+01:00,Hydrophone,124,5
2025-05-26T22:54:09.8680652+01:00,Temperature,18,95
2025-05-26T22:54:19.8833236+01:00,Temperature,19,24
2025-05-26T22:54:29.8975479+01:00,Temperature,18,89
2025-05-26T22:54:39.6337903+01:00,Hydrophone,124,6
2025-05-26T22:54:39.9022641+01:00,Temperature,19,14
2025-05-26T22:54:49.9098712+01:00,Temperature,18,98
2025-05-27T16:48:10.9939195+01:00,Hydrophone,129.4
2025-05-27T16:48:11.0092818+01:00,Temperature,19.46
2025-05-27T16:48:11.0093243+01:00,Gyroscope,"X:-0,08,Y:-0,08,Z:0,16"
2025-05-27T16:48:11.0253930+01:00,Accelerometer,"X:-0,01,Y:9,61,Z:0,05"
