Timestamp,SensorType,Value
2025-05-26T22:46:20.3698511+01:00,Hydrophone,128,7
2025-05-26T22:46:20.4050109+01:00,Temperature,23,51
2025-05-26T22:46:30.4329086+01:00,Temperature,23,72
2025-05-26T22:46:40.4379252+01:00,Temperature,23,36
2025-05-26T22:46:50.4287992+01:00,Hydrophone,128,7
2025-05-26T22:46:50.4436625+01:00,Temperature,23,38
2025-05-26T22:47:00.4582803+01:00,Temperature,23,6
2025-05-26T22:47:10.4732882+01:00,Temperature,23,48
2025-05-26T22:47:21.3892607+01:00,Hydrophone,121,3
2025-05-26T22:47:21.4310269+01:00,Temperature,15,88
2025-05-26T22:47:31.4575720+01:00,Temperature,15,85
2025-05-26T22:47:41.4760911+01:00,Temperature,16,05
2025-05-26T22:47:51.4561397+01:00,Hydrophone,121,1
2025-05-26T22:47:51.4862530+01:00,Temperature,15,64
2025-05-26T22:48:39.4556751+01:00,Temperature,15,39
2025-05-26T22:48:39.4233630+01:00,Hydrophone,123,8
2025-05-26T22:48:49.4972891+01:00,Temperature,15,31
2025-05-26T22:48:59.5113613+01:00,Temperature,15,49
2025-05-26T22:49:09.4893081+01:00,Hydrophone,123,9
2025-05-26T22:49:09.5204212+01:00,Temperature,15,11
2025-05-26T22:49:19.5331709+01:00,Temperature,15,1
2025-05-26T22:49:29.5384606+01:00,Temperature,15,04
2025-05-26T22:49:39.5132576+01:00,Hydrophone,123,3
2025-05-26T22:49:39.5584289+01:00,Temperature,15,33
2025-05-26T22:49:49.5779400+01:00,Temperature,15,47
2025-05-26T22:49:59.5864965+01:00,Temperature,15,26
2025-05-26T22:50:09.5218088+01:00,Hydrophone,124,1
2025-05-26T22:50:09.6013652+01:00,Temperature,15,05
2025-05-26T22:50:19.6125553+01:00,Temperature,15,18
2025-05-26T22:50:29.6234023+01:00,Temperature,15,23
2025-05-26T22:50:39.5340704+01:00,Hydrophone,124,9
2025-05-26T22:50:39.6295201+01:00,Temperature,15,33
2025-05-26T22:50:49.6352439+01:00,Temperature,15,46
2025-05-26T22:50:59.6519370+01:00,Temperature,15,12
2025-05-26T22:51:09.5365351+01:00,Hydrophone,124,4
2025-05-26T22:51:09.6614251+01:00,Temperature,15,42
2025-05-26T22:51:19.6749222+01:00,Temperature,15,32
2025-05-26T22:51:29.6884497+01:00,Temperature,15,24
2025-05-26T22:51:39.5467068+01:00,Hydrophone,124,9
2025-05-26T22:51:39.7041369+01:00,Temperature,15,09
2025-05-26T22:51:49.7131996+01:00,Temperature,15,35
2025-05-26T22:51:59.7288539+01:00,Temperature,15,21
2025-05-26T22:52:09.5543148+01:00,Hydrophone,125,3
2025-05-26T22:52:09.7435560+01:00,Temperature,15,56
2025-05-26T22:52:19.7581461+01:00,Temperature,15,55
2025-05-26T22:52:29.7774878+01:00,Temperature,15,26
2025-05-26T22:52:39.5681616+01:00,Hydrophone,126,2
2025-05-26T22:52:39.7833718+01:00,Temperature,15,46
2025-05-26T22:52:49.7880434+01:00,Temperature,15,47
2025-05-26T22:52:59.8092586+01:00,Temperature,15,27
2025-05-26T22:53:09.5835977+01:00,Hydrophone,126,2
2025-05-26T22:53:09.8203320+01:00,Temperature,15,48
2025-05-26T22:53:19.8414687+01:00,Temperature,15,32
2025-05-26T22:53:29.8534690+01:00,Temperature,15,5
2025-05-26T22:53:39.8752075+01:00,Temperature,15,44
2025-05-26T22:53:49.8916772+01:00,Temperature,15,12
2025-05-26T22:53:59.9078237+01:00,Temperature,15,43
2025-05-26T22:54:09.6160141+01:00,Hydrophone,126,5
2025-05-26T22:54:09.9155783+01:00,Temperature,15,62
2025-05-26T22:54:19.9305124+01:00,Temperature,15,4
2025-05-26T22:54:29.9449861+01:00,Temperature,15,26
2025-05-26T22:54:39.6337785+01:00,Hydrophone,126,2
2025-05-26T22:54:39.9501945+01:00,Temperature,15,23
2025-05-26T22:54:49.9573668+01:00,Temperature,15,55
