Timestamp,SensorType,Value
2025-05-26T22:46:20.4762000+01:00,Temperature,24,04
2025-05-26T22:46:20.4857259+01:00,Hydrophone,124,2
2025-05-26T22:46:30.4966965+01:00,Temperature,23,98
2025-05-26T22:46:40.5000823+01:00,Temperature,23,8
2025-05-26T22:46:50.4901585+01:00,Hydrophone,123,6
2025-05-26T22:46:50.5061832+01:00,Temperature,23,95
2025-05-26T22:47:00.5217925+01:00,Temperature,23,66
2025-05-26T22:47:10.5373170+01:00,Temperature,24,09
2025-05-26T22:47:21.4955670+01:00,Temperature,23,93
2025-05-26T22:47:31.5039800+01:00,Temperature,23,88
2025-05-26T22:47:41.5075691+01:00,Temperature,23,57
2025-05-26T22:47:51.5158439+01:00,Temperature,23,76
2025-05-26T22:47:51.5158740+01:00,Hydrophone,120,8
2025-05-26T22:48:39.5321687+01:00,Temperature,13,17
2025-05-26T22:48:49.5446480+01:00,Temperature,12,98
2025-05-26T22:48:59.5590597+01:00,Temperature,12,75
2025-05-26T22:49:09.5514642+01:00,Hydrophone,120,2
2025-05-26T22:49:09.5674716+01:00,Temperature,12,84
2025-05-26T22:49:19.5814492+01:00,Temperature,13,09
2025-05-26T22:49:29.5848634+01:00,Temperature,12,7
2025-05-26T22:49:39.5584316+01:00,Hydrophone,119,7
2025-05-26T22:49:39.6044965+01:00,Temperature,13,15
2025-05-26T22:49:49.6098304+01:00,Temperature,13,03
2025-05-26T22:50:09.5697697+01:00,Hydrophone,119,3
2025-05-26T22:50:09.6323145+01:00,Temperature,12,83
2025-05-26T22:50:19.6441377+01:00,Temperature,12,98
2025-05-26T22:50:29.6536799+01:00,Temperature,13,06
2025-05-26T22:50:39.5816257+01:00,Hydrophone,119,7
2025-05-26T22:50:39.6616734+01:00,Temperature,13,11
2025-05-26T22:50:49.6657402+01:00,Temperature,12,85
2025-05-26T22:50:59.6678039+01:00,Temperature,13,2
2025-05-26T22:51:09.5976239+01:00,Hydrophone,120,1
2025-05-26T22:51:09.6772118+01:00,Temperature,13,12
2025-05-26T22:51:19.6903999+01:00,Temperature,13,09
2025-05-26T22:51:29.7040248+01:00,Temperature,13,19
2025-05-26T22:51:39.6087393+01:00,Hydrophone,119,2
2025-05-26T22:51:39.7195687+01:00,Temperature,13,24
2025-05-26T22:51:49.7286844+01:00,Temperature,13,24
2025-05-26T22:51:59.7438321+01:00,Temperature,12,96
2025-05-26T22:52:09.6170749+01:00,Hydrophone,119,1
2025-05-26T22:52:09.7594006+01:00,Temperature,13,21
2025-05-26T22:52:19.7734265+01:00,Temperature,13,25
2025-05-26T22:52:29.7775234+01:00,Temperature,13,15
2025-05-26T22:52:39.6294099+01:00,Hydrophone,119,5
2025-05-26T22:52:39.7833862+01:00,Temperature,12,77
2025-05-26T22:52:49.7880442+01:00,Temperature,13,14
2025-05-26T22:53:09.6469680+01:00,Hydrophone,119,3
2025-05-26T22:53:09.8203407+01:00,Temperature,12,99
2025-05-26T22:53:19.8414038+01:00,Temperature,13,28
2025-05-26T22:53:29.8533754+01:00,Temperature,12,93
2025-05-26T22:53:39.6543709+01:00,Hydrophone,119,5
2025-05-26T22:53:39.8595489+01:00,Temperature,12,83
2025-05-26T22:53:49.8761480+01:00,Temperature,13,15
2025-05-26T22:53:59.8923326+01:00,Temperature,12,99
2025-05-26T22:54:09.6776596+01:00,Hydrophone,119,4
2025-05-26T22:54:09.9000877+01:00,Temperature,12,81
2025-05-26T22:54:19.9147442+01:00,Temperature,13,22
2025-05-26T22:54:29.9289054+01:00,Temperature,13,19
2025-05-26T22:54:39.6964532+01:00,Hydrophone,119,5
2025-05-26T22:54:39.9340545+01:00,Temperature,12,98
2025-05-26T22:54:49.9420824+01:00,Temperature,12,86
