Timestamp,SensorType,Value
2025-05-26T22:46:20.4650435+01:00,Temperature,20,54
2025-05-26T22:46:20.4722633+01:00,Hydrophone,114,6
2025-05-26T22:46:30.4807051+01:00,Temperature,20,56
2025-05-26T22:46:40.4848493+01:00,Temperature,20,66
2025-05-26T22:46:50.4750992+01:00,Hydrophone,114,7
2025-05-26T22:46:50.4901133+01:00,Temperature,20,49
2025-05-26T22:47:00.5058040+01:00,Temperature,20,45
2025-05-26T22:47:10.5212745+01:00,Temperature,20,25
2025-05-26T22:47:21.4842873+01:00,Temperature,13,49
2025-05-26T22:47:21.4926621+01:00,Hydrophone,118,3
2025-05-26T22:47:31.4884711+01:00,Temperature,13,39
2025-05-26T22:47:41.4915249+01:00,Temperature,13,18
2025-05-26T22:47:51.5011633+01:00,Temperature,13,11
2025-05-26T22:47:51.5012446+01:00,Hydrophone,118,7
2025-05-26T22:48:39.5177155+01:00,Temperature,15,66
2025-05-26T22:48:39.5266734+01:00,Hydrophone,126,4
2025-05-26T22:48:49.5284506+01:00,Temperature,15,56
2025-05-26T22:48:59.5430763+01:00,Temperature,15,66
2025-05-26T22:49:09.5515716+01:00,Temperature,15,98
2025-05-26T22:49:19.5653100+01:00,Temperature,15,74
2025-05-26T22:49:29.5688522+01:00,Temperature,15,89
2025-05-26T22:49:39.5433715+01:00,Hydrophone,126,6
2025-05-26T22:49:39.5886178+01:00,Temperature,15,87
2025-05-26T22:49:49.5938886+01:00,Temperature,15,81
2025-05-26T22:49:59.6018568+01:00,Temperature,15,88
2025-05-26T22:50:09.5537990+01:00,Hydrophone,126,6
2025-05-26T22:50:09.6166571+01:00,Temperature,15,61
2025-05-26T22:50:19.6283165+01:00,Temperature,15,61
2025-05-26T22:50:29.6388595+01:00,Temperature,15,74
2025-05-26T22:50:39.6455780+01:00,Temperature,15,64
2025-05-26T22:50:49.6502441+01:00,Temperature,15,88
2025-05-26T22:50:59.6519352+01:00,Temperature,15,59
2025-05-26T22:51:09.5663624+01:00,Hydrophone,126,1
2025-05-26T22:51:09.6614229+01:00,Temperature,15,57
2025-05-26T22:51:19.6748921+01:00,Temperature,15,9
2025-05-26T22:51:29.6884499+01:00,Temperature,15,73
2025-05-26T22:51:39.5767634+01:00,Hydrophone,126,6
2025-05-26T22:51:39.7041360+01:00,Temperature,15,54
2025-05-26T22:51:49.7133124+01:00,Temperature,15,76
2025-05-26T22:51:59.7288765+01:00,Temperature,15,7
2025-05-26T22:52:09.5850146+01:00,Hydrophone,126,1
2025-05-26T22:52:09.7436408+01:00,Temperature,16,01
2025-05-26T22:52:19.7582512+01:00,Temperature,15,78
2025-05-26T22:52:29.7775247+01:00,Temperature,15,73
2025-05-26T22:52:39.5998091+01:00,Hydrophone,126,4
2025-05-26T22:52:39.7834929+01:00,Temperature,15,65
2025-05-26T22:52:49.8040584+01:00,Temperature,15,74
2025-05-26T22:52:59.8092625+01:00,Temperature,15,59
2025-05-26T22:53:19.8415212+01:00,Temperature,15,83
2025-05-26T22:53:29.8535048+01:00,Temperature,15,77
2025-05-26T22:53:39.6226386+01:00,Hydrophone,126,7
2025-05-26T22:53:39.8753080+01:00,Temperature,15,83
2025-05-26T22:53:49.8916973+01:00,Temperature,15,75
2025-05-26T22:53:59.9078849+01:00,Temperature,15,71
2025-05-26T22:54:09.6457413+01:00,Hydrophone,127,3
2025-05-26T22:54:09.9156193+01:00,Temperature,15,88
2025-05-26T22:54:19.9305416+01:00,Temperature,15,77
2025-05-26T22:54:29.9451550+01:00,Temperature,15,61
2025-05-26T22:54:39.6650759+01:00,Hydrophone,126,9
2025-05-26T22:54:39.9649634+01:00,Temperature,15,94
2025-05-26T22:54:49.9720295+01:00,Temperature,16,08
2025-05-28T00:10:17.6015945+01:00,Temperature,10.2
2025-05-28T00:10:17.6175933+01:00,Gyroscope,"X:-0,04,Y:0,03,Z:0,06"
2025-05-28T00:10:17.6175978+01:00,Accelerometer,"X:-0,00,Y:9,78,Z:-0,16"
